2.13000000  0.31062052 0.06542798
2.14000000  0.31124548 0.06534239
2.15000000  0.31192359 0.06525126
2.16000000  0.31258209 0.06517111
2.17000000  0.31323544 0.06509801
2.18000000  0.31385221 0.06501637
2.19000000  0.31452227 0.06493271
2.20000000  0.31520629 0.06484588
2.21000000  0.31584734 0.06475987
2.22000000  0.31655653 0.06469152
2.23000000  0.31713483 0.06461970
2.24000000  0.31772720 0.06453667
2.25000000  0.31840995 0.06446036
2.26000000  0.31905820 0.06437762
2.27000000  0.31967924 0.06429155
2.28000000  0.32038284 0.06421529
2.29000000  0.32097741 0.06414212
2.30000000  0.32162077 0.06405738
2.31000000  0.32230745 0.06398673
2.32000000  0.32290632 0.06392211
2.33000000  0.32362021 0.06383690
2.34000000  0.32414960 0.06377198
2.35000000  0.32485257 0.06367885
2.36000000  0.32548806 0.06361988
2.37000000  0.32610578 0.06353767
2.38000000  0.32668759 0.06346930
2.39000000  0.32732762 0.06340097
2.40000000  0.32799717 0.06331667
2.41000000  0.32862680 0.06325948
2.42000000  0.32931072 0.06317870
2.43000000  0.32986763 0.06310961
2.44000000  0.33050575 0.06302932
2.45000000  0.33115683 0.06297003
2.46000000  0.33177334 0.06288875
2.47000000  0.33242491 0.06283834
2.48000000  0.33305153 0.06275439
2.49000000  0.33366628 0.06268640
2.50000000  0.33433785 0.06261598
2.51000000  0.33496900 0.06255133
2.52000000  0.33557521 0.06247926
2.53000000  0.33618919 0.06241361
2.54000000  0.33681135 0.06235561
2.55000000  0.33743539 0.06227564
2.56000000  0.33798602 0.06221306
2.57000000  0.33867817 0.06214388
2.58000000  0.33921354 0.06207554
2.59000000  0.33993702 0.06200768
2.60000000  0.34049389 0.06194346
2.61000000  0.34107165 0.06187450
2.62000000  0.34177147 0.06181639
2.63000000  0.34237974 0.06174348
2.64000000  0.34301071 0.06169116
2.65000000  0.34361025 0.06162696
2.66000000  0.34419616 0.06155279
2.67000000  0.34481853 0.06149821
2.68000000  0.34542855 0.06143844
2.69000000  0.34604811 0.06136357
2.70000000  0.34669161 0.06131943
2.71000000  0.34730726 0.06122993
2.72000000  0.34791466 0.06117517
2.73000000  0.34844454 0.06112414
2.74000000  0.34913951 0.06106043
2.75000000  0.34967878 0.06100216
2.76000000  0.35039483 0.06092952
2.77000000  0.35093726 0.06088063
2.78000000  0.35159266 0.06080890
2.79000000  0.35217560 0.06076286
2.80000000  0.35283478 0.06068851
2.81000000  0.35336091 0.06062534
2.82000000  0.35400004 0.06057663
2.83000000  0.35454554 0.06051154
2.84000000  0.35522476 0.06046494
2.85000000  0.35579024 0.06039204
2.86000000  0.35641240 0.06033769
2.87000000  0.35698598 0.06028192
2.88000000  0.35761946 0.06022359
2.89000000  0.35818402 0.06016566
2.90000000  0.35883865 0.06011200
2.91000000  0.35944699 0.06004754
2.92000000  0.36001577 0.05998560
2.93000000  0.36060982 0.05992990
2.94000000  0.36123336 0.05988410
2.95000000  0.36184888 0.05982418
2.96000000  0.36246687 0.05977663
2.97000000  0.36305351 0.05970918
2.98000000  0.36361380 0.05964861
2.99000000  0.36417991 0.05959801
3.00000000  0.36482636 0.05953563
3.01000000  0.36541780 0.05949439
3.02000000  0.36597297 0.05942829
3.03000000  0.36662601 0.05937252
3.04000000  0.36711883 0.05932274
3.05000000  0.36773637 0.05926563
3.06000000  0.36836918 0.05922100
3.07000000  0.36890588 0.05916862
3.08000000  0.36954921 0.05910459
3.09000000  0.37013810 0.05905241
3.10000000  0.37072818 0.05899964
3.11000000  0.37127772 0.05895362
3.12000000  0.37190477 0.05888828
3.13000000  0.37251990 0.05884894
3.14000000  0.37316814 0.05879303
3.15000000  0.37365978 0.05873756
3.16000000  0.37431197 0.05869464
3.17000000  0.37478502 0.05863996
3.18000000  0.37542040 0.05858223
3.19000000  0.37607668 0.05853303
3.20000000  0.37652521 0.05849038
3.21000000  0.37718310 0.05844278
3.22000000  0.37781215 0.05839205
3.23000000  0.37835203 0.05834196
3.24000000  0.37894251 0.05828686
3.25000000  0.37956643 0.05824783
3.26000000  0.38014599 0.05818296
